"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test create_item raises IntegrityError and rolls back.","3","test_create_item_integrity_error","tests.unit","2026-05-03","passed","2026-05-03","","test_services","",""
"Test getting an item by ID returns the item if found.","2","test_get_item_by_id_found","tests.unit","2026-05-03","passed","2026-05-03","","test_services","",""
"","4","test_get_item_by_id_endpoint_found","tests.unit","2026-05-03","passed","2026-05-03","","test_item_endpoints","",""
"","8","test_update_item_persists_in_db","tests.db","2026-05-03","passed","2026-05-03","","test_item_persistance","",""
"Test deleting an item succeeds and commits.","1","test_delete_item_success","tests.unit","2026-05-03","passed","2026-05-03","","test_services","",""
"Test updating a non-existent item returns None.","1","test_update_item_not_found","tests.unit","2026-05-03","passed","2026-05-03","","test_services","",""
"","4","test_list_items_returns_200_and_list_shape","tests.integration","2026-05-03","passed","2026-05-03","","test_api_items_update_list","",""
"","2","test_get_item_by_id","tests.integration","2026-05-03","passed","2026-05-03","","test_api_items","",""
"Test listing items returns a list of items.","4","test_list_items","tests.unit","2026-05-03","passed","2026-05-03","","test_services","",""
"","5","test_delete_item","tests.integration","2026-05-03","passed","2026-05-03","","test_api_items","",""
"","2","test_get_missing_item_returns_404","tests.integration","2026-05-03","passed","2026-05-03","","test_api_items","",""
"","1","test_update_item_invalid_payload_returns_422","tests.integration","2026-05-03","passed","2026-05-03","","test_api_items_update_list","",""
"","0","test_create_item_returns_id","tests.integration","2026-05-03","passed","2026-05-03","","test_api_items","",""
"Test creating an item succeeds and commits.","1","test_create_item_success","tests.unit","2026-05-03","passed","2026-05-03","","test_services","",""
"Test getting an item by ID returns None if not found.","2","test_get_item_by_id_not_found","tests.unit","2026-05-03","passed","2026-05-03","","test_services","",""
"","10","test_create_duplicate_name_returns_409","tests.integration","2026-05-03","passed","2026-05-03","","test_api_items","",""
"","3","test_update_missing_item_returns_404","tests.integration","2026-05-03","passed","2026-05-03","","test_api_items","",""
"Test updating an item updates fields and commits.","1","test_update_item_success","tests.unit","2026-05-03","passed","2026-05-03","","test_services","",""
"","6","test_delete_item_removes_from_db","tests.db","2026-05-03","passed","2026-05-03","","test_item_persistance","",""
"","16","test_get_items_endpoint","tests.unit","2026-05-03","passed","2026-05-03","","test_item_endpoints","",""
"","18","test_update_duplicate_name_returns_409","tests.integration","2026-05-03","passed","2026-05-03","","test_api_items","",""
"","3","test_list_items_includes_created_item","tests.integration","2026-05-03","passed","2026-05-03","","test_api_items_update_list","",""
"","6","test_item_without_description_is_saved","tests.db","2026-05-03","passed","2026-05-03","","test_item_persistance","",""
"","7","test_update_item_updates_name_and_description","tests.integration","2026-05-03","passed","2026-05-03","","test_api_items_update_list","",""
"Test deleting a non-existent item returns None.","1","test_delete_item_not_found","tests.unit","2026-05-03","passed","2026-05-03","","test_services","",""
"","2","test_delete_missing_item_returns_404","tests.integration","2026-05-03","passed","2026-05-03","","test_api_items","",""
"","4","test_get_item_by_id_endpoint_not_found","tests.unit","2026-05-03","passed","2026-05-03","","test_item_endpoints","",""
"","5","test_create_missing_required_field_name_returns_422","tests.integration","2026-05-03","passed","2026-05-03","","test_api_items","",""
"","2","test_create_name_wrong_type_returns_422","tests.integration","2026-05-03","passed","2026-05-03","","test_api_items","",""
"","5","test_update_item_partial_does_not_wipe_description","tests.integration","2026-05-03","passed","2026-05-03","","test_api_items_update_list","",""
"","39","test_create_item_persisted_in_db","tests.db","2026-05-03","passed","2026-05-03","","test_item_persistance","",""
"","8","test_duplicate_item_name_fails","tests.db","2026-05-03","passed","2026-05-03","","test_item_persistance","",""
"","7","test_created_at_is_set","tests.db","2026-05-03","passed","2026-05-03","","test_item_persistance","",""
